la_Code,Borough,Occ_Rating,Observation,Value,Status
E09000001,City of London,rating: +2 or more,390,197,nonMigrant
E09000001,City of London,rating: +1,1158,584,nonMigrant
E09000001,City of London,rating: 0,3133,1580,nonMigrant
E09000001,City of London,rating: -1,207,104,nonMigrant
E09000001,City of London,rating: -2 or less,26,13,nonMigrant
E09000001,City of London,rating: +2 or more,390,193,Migrant
E09000001,City of London,rating: +1,1158,574,Migrant
E09000001,City of London,rating: 0,3133,1553,Migrant
E09000001,City of London,rating: -1,207,103,Migrant
E09000001,City of London,rating: -2 or less,26,13,Migrant
E09000002,Barking and Dagenham,rating: +2 or more,10720,6293,nonMigrant
E09000002,Barking and Dagenham,rating: +1,19248,11299,nonMigrant
E09000002,Barking and Dagenham,rating: 0,30793,18076,nonMigrant
E09000002,Barking and Dagenham,rating: -1,10629,6240,nonMigrant
E09000002,Barking and Dagenham,rating: -2 or less,2512,1475,nonMigrant
E09000002,Barking and Dagenham,rating: +2 or more,10720,4427,Migrant
E09000002,Barking and Dagenham,rating: +1,19248,7949,Migrant
E09000002,Barking and Dagenham,rating: 0,30793,12717,Migrant
E09000002,Barking and Dagenham,rating: -1,10629,4389,Migrant
E09000002,Barking and Dagenham,rating: -2 or less,2512,1037,Migrant
E09000003,Barnet,rating: +2 or more,42709,24275,nonMigrant
E09000003,Barnet,rating: +1,40449,22990,nonMigrant
E09000003,Barnet,rating: 0,51793,29438,nonMigrant
E09000003,Barnet,rating: -1,11644,6618,nonMigrant
E09000003,Barnet,rating: -2 or less,2322,1320,nonMigrant
E09000003,Barnet,rating: +2 or more,42709,18434,Migrant
E09000003,Barnet,rating: +1,40449,17459,Migrant
E09000003,Barnet,rating: 0,51793,22355,Migrant
E09000003,Barnet,rating: -1,11644,5026,Migrant
E09000003,Barnet,rating: -2 or less,2322,1002,Migrant
E09000004,Bexley,rating: +2 or more,30448,24054,nonMigrant
E09000004,Bexley,rating: +1,31647,25001,nonMigrant
E09000004,Bexley,rating: 0,27373,21625,nonMigrant
E09000004,Bexley,rating: -1,4934,3898,nonMigrant
E09000004,Bexley,rating: -2 or less,898,709,nonMigrant
E09000004,Bexley,rating: +2 or more,30448,6394,Migrant
E09000004,Bexley,rating: +1,31647,6646,Migrant
E09000004,Bexley,rating: 0,27373,5748,Migrant
E09000004,Bexley,rating: -1,4934,1036,Migrant
E09000004,Bexley,rating: -2 or less,898,189,Migrant
E09000005,Brent,rating: +2 or more,22710,9974,nonMigrant
E09000005,Brent,rating: +1,27337,12006,nonMigrant
E09000005,Brent,rating: 0,48512,21305,nonMigrant
E09000005,Brent,rating: -1,14926,6555,nonMigrant
E09000005,Brent,rating: -2 or less,5127,2252,nonMigrant
E09000005,Brent,rating: +2 or more,22710,12736,Migrant
E09000005,Brent,rating: +1,27337,15331,Migrant
E09000005,Brent,rating: 0,48512,27207,Migrant
E09000005,Brent,rating: -1,14926,8371,Migrant
E09000005,Brent,rating: -2 or less,5127,2875,Migrant
E09000006,Bromley,rating: +2 or more,49715,39630,nonMigrant
E09000006,Bromley,rating: +1,42488,33869,nonMigrant
E09000006,Bromley,rating: 0,37505,29897,nonMigrant
E09000006,Bromley,rating: -1,5425,4325,nonMigrant
E09000006,Bromley,rating: -2 or less,695,554,nonMigrant
E09000006,Bromley,rating: +2 or more,49715,10085,Migrant
E09000006,Bromley,rating: +1,42488,8619,Migrant
E09000006,Bromley,rating: 0,37505,7608,Migrant
E09000006,Bromley,rating: -1,5425,1100,Migrant
E09000006,Bromley,rating: -2 or less,695,141,Migrant
E09000007,Camden,rating: +2 or more,13329,7272,nonMigrant
E09000007,Camden,rating: +1,24607,13425,nonMigrant
E09000007,Camden,rating: 0,45985,25089,nonMigrant
E09000007,Camden,rating: -1,7145,3898,nonMigrant
E09000007,Camden,rating: -2 or less,1690,922,nonMigrant
E09000007,Camden,rating: +2 or more,13329,6057,Migrant
E09000007,Camden,rating: +1,24607,11182,Migrant
E09000007,Camden,rating: 0,45985,20896,Migrant
E09000007,Camden,rating: -1,7145,3247,Migrant
E09000007,Camden,rating: -2 or less,1690,768,Migrant
E09000008,Croydon,rating: +2 or more,40376,26303,nonMigrant
E09000008,Croydon,rating: +1,41807,27235,nonMigrant
E09000008,Croydon,rating: 0,54895,35762,nonMigrant
E09000008,Croydon,rating: -1,13402,8731,nonMigrant
E09000008,Croydon,rating: -2 or less,2466,1606,nonMigrant
E09000008,Croydon,rating: +2 or more,40376,14073,Migrant
E09000008,Croydon,rating: +1,41807,14572,Migrant
E09000008,Croydon,rating: 0,54895,19133,Migrant
E09000008,Croydon,rating: -1,13402,4671,Migrant
E09000008,Croydon,rating: -2 or less,2466,860,Migrant
E09000009,Ealing,rating: +2 or more,29916,14714,nonMigrant
E09000009,Ealing,rating: +1,33372,16414,nonMigrant
E09000009,Ealing,rating: 0,52743,25941,nonMigrant
E09000009,Ealing,rating: -1,13826,6800,nonMigrant
E09000009,Ealing,rating: -2 or less,3802,1870,nonMigrant
E09000009,Ealing,rating: +2 or more,29916,15202,Migrant
E09000009,Ealing,rating: +1,33372,16958,Migrant
E09000009,Ealing,rating: 0,52743,26802,Migrant
E09000009,Ealing,rating: -1,13826,7026,Migrant
E09000009,Ealing,rating: -2 or less,3802,1932,Migrant
E09000010,Enfield,rating: +2 or more,30644,18278,nonMigrant
E09000010,Enfield,rating: +1,31780,18956,nonMigrant
E09000010,Enfield,rating: 0,42871,25571,nonMigrant
E09000010,Enfield,rating: -1,12565,7495,nonMigrant
